Report Level 3,BM001397,BM001398,BM001399,BM001400
GABA,16.694905015289198,16.596175330869332,17.277978087775736,16.652763725309395
Serotonin,11.547434164104773,11.962995711200866,12.959628390825936,12.376162894517531
Tryptophan,17.733217870575956,17.552906197914947,18.051947378340287,17.57711362230312
Trimethylamine N-oxide (TMAO),15.752053128059355,15.954007007870606,16.656923524763435,15.450349423917888
Indole & Indole Derivatives,11.167562408122832,12.625227103380933,15.525313419011825,13.845794827280425
Cysteine Derivatives,17.420432283755122,17.499903113017574,18.334665745757114,17.40021312306996
Bile Acid Pool,16.089329437631992,15.711779209281152,15.532586807426929,16.036436150574
Imidazole Propionate,14.904195866917332,14.513236581636718,17.106287501707076,15.670675427762845
Oxidative stress,11.810476563146485,13.239076860115059,15.316736075263886,12.91471960427749
Branched Chain Amino Acids,17.09909130380256,17.033401886437993,17.76507894575662,17.040024921126204
Butyrate (SCFA),17.987318885520562,17.997196529134722,18.54824805889724,18.02533074488646
Lactate,19.301501667060446,19.345218380060167,20.376766310193464,19.240106284119268
Carbohydrates,18.514757242125555,18.499496515246847,19.695633220223193,18.548877761173443
Proteins,17.648575587067143,17.574861282800832,18.308154147658176,17.649947322729492
Fats,16.166709765498236,16.20032111268218,17.006537309042017,16.335725893014583
Vitamin B1,17.47157212818004,17.223834780366584,17.561784427649528,17.32284800393484
Vitamin B6,17.952778892701453,17.601000557269575,17.856970497307934,17.6865466570683
Vitamin B7,16.880325464625663,16.737729613383724,16.896862791084487,17.029621512535364
Vitamin B9,18.890843084266788,18.735108359054774,19.168202216107847,18.749499172859064
Vitamin B12,17.00548754345365,16.856877404055165,16.967981960206636,16.786468895839697
